"","tfs_alarm_time","tfs_arrival_time","area_of_origin","civilian_casualties","estimated_dollar_loss","extent_of_fire","fire_alarm_system_presence","ignition_source","smoke_alarm_at_fire_origin","sprinkler_system_operation","time_diff"
"1",2018-02-25 15:48:34,2018-02-25 15:52:04,"28 - Office",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",3.5
"2",2018-02-26 18:11:59,2018-02-26 18:15:50,"24 - Cooking Area or Kitchen",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.85
"3",2018-03-03 09:49:14,2018-03-03 09:53:09,"24 - Cooking Area or Kitchen",0,0,"1 - Confined to object of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system",3.91666666666667
"4",2018-03-03 17:54:38,2018-03-03 17:59:42,"25 - Washroom or Bathroom (toilet,restroom/locker room)",0,15000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","24 - Circuit Wiring - Copper","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",5.06666666666667
"5",2018-03-03 18:34:35,2018-03-03 18:40:47,"24 - Cooking Area or Kitchen",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire",6.2
"6",2018-03-03 19:04:47,2018-03-03 19:10:11,"24 - Cooking Area or Kitchen",0,60000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",5.4
"7",2018-03-04 00:00:41,2018-03-04 00:04:48,"24 - Cooking Area or Kitchen",0,3000,"1 - Confined to object of origin","1 -  Fire alarm system present","49 - Other Appliances","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",4.11666666666667
"8",2018-01-06 17:54:40,2018-01-06 17:58:17,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,100,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","3 - Did not activate: fire too small to trigger system",3.61666666666667
"9",2018-01-11 16:36:11,2018-01-11 16:40:51,"24 - Cooking Area or Kitchen",0,200,"1 - Confined to object of origin","2 - No Fire alarm system","13 - Microwave","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",4.66666666666667
"10",2018-03-17 21:04:00,2018-03-17 21:08:38,"24 - Cooking Area or Kitchen",0,15000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated",4.63333333333333
"11",2018-03-17 21:59:36,2018-03-17 22:06:11,"50 - Basement/cellar (not partitioned)",0,5e+05,"11 - Spread beyond building of origin, resulted in exposure fire(s)","2 - No Fire alarm system","74 - Salamander","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present",6.58333333333333
"12",2018-03-18 09:33:55,2018-03-18 09:37:21,"64 - Porch or Balcony",0,1000,"10 - Spread beyond building of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present",3.43333333333333
"13",2018-03-24 07:17:39,2018-03-24 07:22:35,"24 - Cooking Area or Kitchen",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","12 - Oven","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire",4.93333333333333
