tfs_alarm_time,tfs_arrival_time,area_of_origin,civilian_casualties,estimated_dollar_loss,extent_of_fire,fire_alarm_system_presence,ignition_source,smoke_alarm_at_fire_origin,sprinkler_system_operation,time_diff
2018-02-25T15:48:34Z,2018-02-25T15:52:04Z,28,0,5000,1 ,P,41,PO,P,3.5
2018-02-26T18:11:59Z,2018-02-26T18:15:50Z,24,0,500,1 ,P,11,PO,N,3.85
2018-03-03T09:49:14Z,2018-03-03T09:53:09Z,24,0,0,1 ,N,11,PO,P,3.91666666666667
2018-03-03T17:54:38Z,2018-03-03T17:59:42Z,25,0,15000,2 ,N,24,N,N,5.06666666666667
2018-03-03T18:34:35Z,2018-03-03T18:40:47Z,24,0,0,1 ,P,11,PO,P,6.2
2018-03-03T19:04:47Z,2018-03-03T19:10:11Z,24,0,60000,2 ,N,11,N,N,5.4
2018-03-04T00:00:41Z,2018-03-04T00:04:48Z,24,0,3000,1 ,P,49,PO,PO,4.11666666666667
2018-01-06T17:54:40Z,2018-01-06T17:58:17Z,22,0,100,1 ,P,71,P,P,3.61666666666667
2018-01-11T16:36:11Z,2018-01-11T16:40:51Z,24,0,200,1 ,N,13,PO,N,4.66666666666667
2018-03-17T21:04:00Z,2018-03-17T21:08:38Z,24,0,15000,2 ,P,11,PO,PO,4.63333333333333
2018-03-17T21:59:36Z,2018-03-17T22:06:11Z,50,0,500000,11,N,74,N,N,6.58333333333333
2018-03-18T09:33:55Z,2018-03-18T09:37:21Z,64,0,1000,10,P,71,PO,N,3.43333333333333
2018-03-24T07:17:39Z,2018-03-24T07:22:35Z,24,0,10000,2 ,P,12,P,P,4.93333333333333
2018-01-23T13:57:34Z,2018-01-23T14:00:23Z,52,0,10000,2 ,P,41,PO,N,2.81666666666667
2018-02-02T12:46:43Z,2018-02-02T12:50:54Z,61,0,0,1 ,N,72,N,N,4.18333333333333
2018-02-02T16:35:34Z,2018-02-02T16:41:28Z,24,0,30000,3 ,P,11,PO,P,5.9
2018-02-02T19:23:14Z,2018-02-02T19:28:18Z,24,0,1000,2 ,N,11,PO,N,5.06666666666667
2018-01-26T12:16:21Z,2018-01-26T12:21:59Z,62,0,100,1 ,P,73,P,N,5.63333333333333
2018-02-03T14:15:29Z,2018-02-03T14:21:51Z,24,0,5000,2 ,P,11,PO,N,6.36666666666667
2018-01-16T11:14:44Z,2018-01-16T11:19:00Z,12,0,1000,1 ,P,73,PO,P,4.26666666666667
2018-01-18T18:56:04Z,2018-01-18T19:01:38Z,22,0,10000,2 ,N,55,P,N,5.56666666666667
2018-01-19T06:54:16Z,2018-01-19T06:58:05Z,21,0,60000,3 ,P,29,P,N,3.81666666666667
2018-01-20T18:06:28Z,2018-01-20T18:10:04Z,24,1,0,1 ,P,11,PO,P,3.6
2018-03-30T13:03:30Z,2018-03-30T13:09:37Z,79,0,50000,9 ,P,14,PO,N,6.11666666666667
2018-03-30T23:39:09Z,2018-03-30T23:43:45Z,22,0,5000,2 ,P,71,PO,N,4.6
2018-01-05T14:06:44Z,2018-01-05T14:11:13Z,53,0,150000,3 ,N,36,PO,N,4.48333333333333
2018-01-06T21:06:45Z,2018-01-06T21:11:01Z,25,0,20000,1 ,P,77,PO,P,4.26666666666667
2018-01-19T10:14:50Z,2018-01-19T10:20:07Z,26,0,100,1 ,P,41,PO,N,5.28333333333333
2018-01-12T15:36:54Z,2018-01-12T15:46:15Z,22,0,500,2 ,N,55,N,N,9.35
2018-02-09T06:08:34Z,2018-02-09T06:12:58Z,24,0,1000,1 ,P,83,PO,N,4.4
2018-02-15T23:06:52Z,2018-02-15T23:12:25Z,24,0,100000,2 ,P,11,PO,N,5.55
2018-02-16T13:29:28Z,2018-02-16T13:33:11Z,24,0,500,1 ,P,12,PO,N,3.71666666666667
2018-02-16T18:44:52Z,2018-02-16T18:49:44Z,24,0,8000,2 ,P,11,PO,P,4.86666666666667
2018-02-16T18:45:29Z,2018-02-16T18:50:40Z,24,0,2500,2 ,N,11,PO,N,5.18333333333333
2018-02-18T17:19:28Z,2018-02-18T17:22:49Z,24,0,3000,2 ,N,11,PO,N,3.35
2018-03-08T17:06:39Z,2018-03-08T17:09:09Z,24,0,30000,2 ,P,11,PO,N,2.5
2018-03-08T18:47:21Z,2018-03-08T18:53:15Z,67,0,20000,7 ,N,72,N,N,5.9
2018-03-13T20:03:17Z,2018-03-13T20:08:17Z,22,0,0,2 ,N,71,N,N,5
2018-03-14T15:01:55Z,2018-03-14T15:06:14Z,58,0,20000,4 ,P,72,PO,N,4.31666666666667
2018-03-08T23:11:25Z,2018-03-08T23:16:30Z,29,0,10000,2 ,P,19,PO,N,5.08333333333333
2018-03-09T10:53:06Z,2018-03-09T10:59:15Z,22,2,1500,2 ,P,55,PO,N,6.15
2018-03-09T16:30:13Z,2018-03-09T16:33:45Z,22,1,15000,2 ,P,71,PO,P,3.53333333333333
2018-03-09T21:43:18Z,2018-03-09T21:50:05Z,24,0,10000,4 ,P,11,PO,N,6.78333333333333
2018-04-05T21:08:56Z,2018-04-05T21:12:22Z,24,0,50000,2 ,N,11,PO,N,3.43333333333333
2018-04-06T20:51:45Z,2018-04-06T20:56:38Z,24,0,2000,4 ,P,12,PO,P,4.88333333333333
2018-02-26T18:55:51Z,2018-02-26T18:59:40Z,51,0,10000,2 ,P,84,PO,P,3.81666666666667
2018-02-26T20:07:30Z,2018-02-26T20:11:55Z,46,1,3000,2 ,N,93,N,N,4.41666666666667
2018-02-26T22:52:39Z,2018-02-26T22:55:23Z,11,0,3000000,7 ,P,52,PO,PO,2.73333333333333
2018-02-27T06:20:59Z,2018-02-27T06:30:40Z,28,0,10000,3 ,P,20,PO,PO,9.68333333333333
2018-02-27T11:11:15Z,2018-02-27T11:16:48Z,33,1,2000,2 ,P,64,P,P,5.55
2018-01-19T20:25:29Z,2018-01-19T20:31:56Z,81,0,1000,1 ,P,84,N,N,6.45
2018-03-05T06:12:03Z,2018-03-05T06:18:30Z,27,0,3000,2 ,N,43,PO,N,6.45
2018-01-02T01:00:09Z,2018-01-02T01:07:18Z,24,0,600,1 ,N,12,P,N,7.15
2018-02-20T05:31:24Z,2018-02-20T05:37:37Z,21,2,50000,1 ,P,71,PO,N,6.21666666666667
2018-02-20T08:48:10Z,2018-02-20T08:52:15Z,22,0,3000,1 ,P,71,PO,PO,4.08333333333333
2018-02-20T23:07:19Z,2018-02-20T23:11:31Z,24,0,200,2 ,P,11,PO,P,4.2
2018-03-12T17:44:01Z,2018-03-12T17:46:46Z,24,0,800,1 ,P,11,P,N,2.75
2018-03-12T19:15:11Z,2018-03-12T19:19:54Z,25,1,100,1 ,P,88,PO,P,4.71666666666667
2018-03-13T18:38:43Z,2018-03-13T18:43:11Z,64,0,300,2 ,P,71,P,P,4.46666666666667
2018-01-08T07:09:06Z,2018-01-08T07:14:20Z,52,0,25000,1 ,P,41,PO,N,5.23333333333333
2018-01-06T11:59:53Z,2018-01-06T12:05:25Z,55,0,2500,2 ,P,83,PO,N,5.53333333333333
2018-01-06T12:30:04Z,2018-01-06T12:34:51Z,22,0,5000,1 ,N,75,PO,N,4.78333333333333
2018-03-19T03:54:22Z,2018-03-19T03:58:59Z,12,0,20,1 ,P,77,PO,P,4.61666666666667
2018-03-19T12:41:23Z,2018-03-19T12:45:35Z,64,0,4000,2 ,P,71,PO,N,4.2
2018-03-19T16:29:17Z,2018-03-19T16:34:59Z,64,0,2500,1 ,P,71,N,N,5.7
2018-04-10T19:38:00Z,2018-04-10T19:41:47Z,24,0,5000,1 ,P,12,PO,P,3.78333333333333
2018-01-30T18:41:22Z,2018-01-30T18:48:10Z,24,0,2500,2 ,P,11,PO,N,6.8
2018-01-30T09:55:53Z,2018-01-30T10:01:20Z,24,0,3000,2 ,P,12,PO,P,5.45
2018-03-15T19:37:57Z,2018-03-15T19:42:21Z,25,0,1000,2 ,P,79,PO,N,4.4
2018-02-04T06:01:19Z,2018-02-04T06:06:14Z,24,0,200,2 ,P,16,P,P,4.91666666666667
2018-01-26T07:50:04Z,2018-01-26T07:54:21Z,22,0,8000,1 ,P,71,PO,PO,4.28333333333333
2018-01-25T17:24:44Z,2018-01-25T17:28:25Z,44,0,100000,4 ,N,71,N,N,3.68333333333333
2018-04-16T06:35:47Z,2018-04-16T06:41:05Z,30,0,10000,2 ,P,59,PO,N,5.3
2018-04-17T00:20:03Z,2018-04-17T00:24:17Z,42,1,5000,1 ,N,49,N,PO,4.23333333333333
2018-04-17T16:05:00Z,2018-04-17T16:08:12Z,21,0,200,1 ,P,55,PO,P,3.2
2018-01-21T07:56:43Z,2018-01-21T08:02:07Z,22,1,3000,1 ,N,55,PO,N,5.4
2018-03-23T18:59:03Z,2018-03-23T19:04:03Z,31,0,200000,1 ,P,41,N,P,5
2018-02-09T15:48:48Z,2018-02-09T15:52:06Z,50,0,5000,1 ,P,23,PO,N,3.3
2018-02-09T19:19:07Z,2018-02-09T19:26:26Z,24,1,8000,1 ,P,11,PO,P,7.31666666666667
2018-02-12T11:34:34Z,2018-02-12T11:40:45Z,81,0,50000,1 ,P,82,N,PO,6.18333333333333
2018-04-02T16:05:48Z,2018-04-02T16:10:10Z,24,0,100000,4 ,N,11,PO,N,4.36666666666667
2018-04-22T15:01:36Z,2018-04-22T15:07:24Z,61,0,200,1 ,N,79,P,N,5.8
2018-04-22T16:08:39Z,2018-04-22T16:11:50Z,30,0,20000,2 ,P,76,P,P,3.18333333333333
2018-02-27T12:24:59Z,2018-02-27T12:30:53Z,24,0,1500,2 ,P,11,P,N,5.9
2018-01-10T07:24:26Z,2018-01-10T07:29:36Z,24,0,2000,2 ,N,11,P,N,5.16666666666667
2018-01-12T09:24:32Z,2018-01-12T09:29:50Z,27,0,100,1 ,N,41,N,N,5.3
2018-01-23T19:22:33Z,2018-01-23T19:25:29Z,22,0,500,1 ,N,75,PO,N,2.93333333333333
2018-03-15T00:53:53Z,2018-03-15T00:59:33Z,27,0,100000,4 ,N,43,P,N,5.66666666666667
2018-03-15T03:27:36Z,2018-03-15T03:33:40Z,27,1,500,1 ,N,71,PO,N,6.06666666666667
2018-03-20T06:46:55Z,2018-03-20T06:50:58Z,13,0,400,1 ,P,30,PO,P,4.05
2018-03-20T08:50:15Z,2018-03-20T08:55:11Z,22,1,100000,4 ,N,71,N,N,4.93333333333333
2018-03-20T23:23:56Z,2018-03-20T23:29:16Z,66,0,100000,2 ,P,83,PO,N,5.33333333333333
2018-03-22T11:54:59Z,2018-03-22T11:59:20Z,64,0,20000,2 ,P,71,PO,N,4.35
2018-01-29T19:01:23Z,2018-01-29T19:06:54Z,24,0,25000,2 ,P,11,N,P,5.51666666666667
2018-01-29T14:18:34Z,2018-01-29T14:24:29Z,24,0,15000,2 ,P,77,P,N,5.91666666666667
2018-01-31T07:55:33Z,2018-01-31T08:01:12Z,24,0,10000,2 ,P,11,PO,N,5.65
2018-01-29T08:04:57Z,2018-01-29T08:09:05Z,24,0,2000,2 ,P,11,PO,N,4.13333333333333
2018-01-31T16:25:21Z,2018-01-31T16:30:42Z,21,0,10000,2 ,P,55,PO,N,5.35
2018-01-30T11:11:23Z,2018-01-30T11:16:04Z,39,0,100,1 ,P,42,PO,N,4.68333333333333
2018-01-30T09:17:01Z,2018-01-30T09:22:08Z,24,0,5000,2 ,P,11,P,N,5.11666666666667
2018-02-04T18:57:42Z,2018-02-04T19:03:00Z,24,0,3000,1 ,P,11,PO,PO,5.3
2018-02-04T21:14:29Z,2018-02-04T21:19:48Z,53,0,100,1 ,N,39,P,N,5.31666666666667
2018-03-23T19:28:20Z,2018-03-23T19:31:34Z,24,1,5000,2 ,N,75,N,N,3.23333333333333
2018-03-23T19:54:52Z,2018-03-23T19:58:06Z,39,0,0,2 ,P,71,N,P,3.23333333333333
2018-03-24T07:44:14Z,2018-03-24T07:49:25Z,44,0,0,1 ,P,76,N,P,5.18333333333333
2018-02-27T22:31:47Z,2018-02-27T22:38:19Z,93,0,200000,2 ,N,19,PO,N,6.53333333333333
2018-03-02T12:14:42Z,2018-03-02T12:16:20Z,24,0,20,2 ,P,11,PO,N,1.63333333333333
2018-03-15T16:49:01Z,2018-03-15T16:55:44Z,62,0,9000,1 ,P,79,PO,P,6.71666666666667
2018-03-15T18:17:44Z,2018-03-15T18:23:58Z,22,0,1000,1 ,P,76,PO,N,6.23333333333333
