"","tfs_alarm_time","tfs_arrival_time","area_of_origin","civilian_casualties","estimated_dollar_loss","extent_of_fire","fire_alarm_system_presence","ignition_source","smoke_alarm_at_fire_origin","sprinkler_system_operation"
"1","2018-02-25T15:48:34","2018-02-25T15:52:04","28 - Office",0,5000,"1 - Confined to object of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"2","2018-02-26T18:11:59","2018-02-26T18:15:50","24 - Cooking Area or Kitchen",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"3","2018-03-03T09:49:14","2018-03-03T09:53:09","24 - Cooking Area or Kitchen",0,0,"1 - Confined to object of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"4","2018-03-03T17:54:38","2018-03-03T17:59:42","25 - Washroom or Bathroom (toilet,restroom/locker room)",0,15000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","24 - Circuit Wiring - Copper","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"5","2018-03-03T18:34:35","2018-03-03T18:40:47","24 - Cooking Area or Kitchen",0,0,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"6","2018-03-03T19:04:47","2018-03-03T19:10:11","24 - Cooking Area or Kitchen",0,60000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"7","2018-03-04T00:00:41","2018-03-04T00:04:48","24 - Cooking Area or Kitchen",0,3000,"1 - Confined to object of origin","1 -  Fire alarm system present","49 - Other Appliances","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"8","2018-01-06T17:54:40","2018-01-06T17:58:17","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,100,"1 - Confined to object of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","3 - Floor/suite of fire origin: Smoke alarm present did not operate","3 - Did not activate: fire too small to trigger system"
"9","2018-01-11T16:36:11","2018-01-11T16:40:51","24 - Cooking Area or Kitchen",0,200,"1 - Confined to object of origin","2 - No Fire alarm system","13 - Microwave","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"10","2018-03-17T21:04:00","2018-03-17T21:08:38","24 - Cooking Area or Kitchen",0,15000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","1 - Sprinkler system activated"
"11","2018-03-17T21:59:36","2018-03-17T22:06:11","50 - Basement/cellar (not partitioned)",0,5e+05,"11 - Spread beyond building of origin, resulted in exposure fire(s)","2 - No Fire alarm system","74 - Salamander","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"12","2018-03-18T09:33:55","2018-03-18T09:37:21","64 - Porch or Balcony",0,1000,"10 - Spread beyond building of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"13","2018-03-24T07:17:39","2018-03-24T07:22:35","24 - Cooking Area or Kitchen",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","12 - Oven","3 - Floor/suite of fire origin: Smoke alarm present did not operate","2 - Did not activate: remote from fire"
"14","2018-01-23T13:57:34","2018-01-23T14:00:23","52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"15","2018-02-02T12:46:43","2018-02-02T12:50:54","61 - Exterior Wall",0,0,"1 - Confined to object of origin","2 - No Fire alarm system","72 - Cutting/Welding Equipment","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"16","2018-02-02T16:35:34","2018-02-02T16:41:28","24 - Cooking Area or Kitchen",0,30000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"17","2018-02-02T19:23:14","2018-02-02T19:28:18","24 - Cooking Area or Kitchen",0,1000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"18","2018-01-26T12:16:21","2018-01-26T12:21:59","62 - Roof",0,100,"1 - Confined to object of origin","1 -  Fire alarm system present","73 - Blow Torch, Bunsen Burner","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"19","2018-02-03T14:15:29","2018-02-03T14:21:51","24 - Cooking Area or Kitchen",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"20","2018-01-16T11:14:44","2018-01-16T11:19:00","12 - Hallway, Corridor",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","73 - Blow Torch, Bunsen Burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"21","2018-01-18T18:56:04","2018-01-18T19:01:38","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,10000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","55 - Candle","4 - Floor/suite of fire origin: Smoke alarm present, operation undetermined","8 - Not applicable - no sprinkler system present"
"22","2018-01-19T06:54:16","2018-01-19T06:58:05","21 - Living Area (e.g. living, TV, recreation, etc)",0,60000,"3 - Spread to entire room of origin","1 -  Fire alarm system present","29 - Extension Cord, Temporary Wiring","3 - Floor/suite of fire origin: Smoke alarm present did not operate","8 - Not applicable - no sprinkler system present"
"23","2018-01-20T18:06:28","2018-01-20T18:10:04","24 - Cooking Area or Kitchen",1,0,"1 - Confined to object of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"24","2018-03-30T13:03:30","2018-03-30T13:09:37","79 - Other Outside Area",0,50000,"9 - Confined to roof/exterior structure","1 -  Fire alarm system present","14 - Open Fired Barbeque - Fixed or Portable","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"25","2018-03-30T23:39:09","2018-03-30T23:43:45","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,5000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"26","2018-01-05T14:06:44","2018-01-05T14:11:13","53 - Chimney/Flue Pipe",0,150000,"3 - Spread to entire room of origin","2 - No Fire alarm system","36 - Fireplace - Masonry","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"27","2018-01-06T21:06:45","2018-01-06T21:11:01","25 - Washroom or Bathroom (toilet,restroom/locker room)",0,20000,"1 - Confined to object of origin","1 -  Fire alarm system present","77 - Matches or Lighters (unable to distinguish)","2 - Floor/suite of fire origin: Smoke alarm present and operated","3 - Did not activate: fire too small to trigger system"
"28","2018-01-19T10:14:50","2018-01-19T10:20:07","26 - Sauna",0,100,"1 - Confined to object of origin","1 -  Fire alarm system present","41 - Other Heating Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"29","2018-01-12T15:36:54","2018-01-12T15:46:15","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,500,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","55 - Candle","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"30","2018-02-09T06:08:34","2018-02-09T06:12:58","24 - Cooking Area or Kitchen",0,1000,"1 - Confined to object of origin","1 -  Fire alarm system present","83 - Other Electrical","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"31","2018-02-15T23:06:52","2018-02-15T23:12:25","24 - Cooking Area or Kitchen",0,1e+05,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"32","2018-02-16T13:29:28","2018-02-16T13:33:11","24 - Cooking Area or Kitchen",0,500,"1 - Confined to object of origin","1 -  Fire alarm system present","12 - Oven","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"33","2018-02-16T18:44:52","2018-02-16T18:49:44","24 - Cooking Area or Kitchen",0,8000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","2 - Did not activate: remote from fire"
"34","2018-02-16T18:45:29","2018-02-16T18:50:40","24 - Cooking Area or Kitchen",0,2500,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"35","2018-02-18T17:19:28","2018-02-18T17:22:49","24 - Cooking Area or Kitchen",0,3000,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"36","2018-03-08T17:06:39","2018-03-08T17:09:09","24 - Cooking Area or Kitchen",0,30000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","11 - Stove, Range-top burner","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"37","2018-03-08T18:47:21","2018-03-08T18:53:15","67 - Concealed Floor Area",0,20000,"7 - Spread to other floors, confined to building","2 - No Fire alarm system","72 - Cutting/Welding Equipment","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"38","2018-03-13T20:03:17","2018-03-13T20:08:17","22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,"2 - Confined to part of room/area of origin","2 - No Fire alarm system","71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited","1 - Floor/suite of fire origin: No smoke alarm","8 - Not applicable - no sprinkler system present"
"39","2018-03-14T15:01:55","2018-03-14T15:06:14","58 - Ducting - Exhaust (inc cooking, fumes, etc.)",0,20000,"4 - Spread beyond room of origin, same floor","1 -  Fire alarm system present","72 - Cutting/Welding Equipment","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
"40","2018-03-08T23:11:25","2018-03-08T23:16:30","29 - Electronic Equipment",0,10000,"2 - Confined to part of room/area of origin","1 -  Fire alarm system present","19 - Other Cooking Items (eg Toaster, Kettle, elec frying pan)","2 - Floor/suite of fire origin: Smoke alarm present and operated","8 - Not applicable - no sprinkler system present"
