"","X_id","beachId","beachName","siteName","collectionDate","eColi","comments","geometry"
"1",1,1,"Marie Curtis Park East Beach","29W","2024-09-08",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"2",2,1,"Marie Curtis Park East Beach","33W","2024-09-08",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"3",3,1,"Marie Curtis Park East Beach","32W","2024-09-08",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"4",4,1,"Marie Curtis Park East Beach","31W","2024-09-08",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"5",5,1,"Marie Curtis Park East Beach","30W","2024-09-08",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"6",6,2,"Sunnyside Beach","23W","2024-09-08",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"7",7,2,"Sunnyside Beach","18W","2024-09-08",70,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"8",8,2,"Sunnyside Beach","17W","2024-09-08",60,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"9",9,2,"Sunnyside Beach","20W","2024-09-08",130,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"10",10,2,"Sunnyside Beach","21W","2024-09-08",120,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"11",11,2,"Sunnyside Beach","19W","2024-09-08",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"12",12,2,"Sunnyside Beach","22W","2024-09-08",100,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"13",13,1,"Marie Curtis Park East Beach","29W","2024-09-07",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"14",14,1,"Marie Curtis Park East Beach","33W","2024-09-07",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"15",15,1,"Marie Curtis Park East Beach","32W","2024-09-07",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"16",16,1,"Marie Curtis Park East Beach","31W","2024-09-07",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"17",17,1,"Marie Curtis Park East Beach","30W","2024-09-07",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"18",18,2,"Sunnyside Beach","23W","2024-09-07",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"19",19,2,"Sunnyside Beach","18W","2024-09-07",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
"20",20,2,"Sunnyside Beach","17W","2024-09-07",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
"21",21,2,"Sunnyside Beach","20W","2024-09-07",50,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
"22",22,2,"Sunnyside Beach","21W","2024-09-07",70,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
"23",23,2,"Sunnyside Beach","19W","2024-09-07",100,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
"24",24,2,"Sunnyside Beach","22W","2024-09-07",40,"None","{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
"25",25,1,"Marie Curtis Park East Beach","29W","2024-09-06",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
"26",26,1,"Marie Curtis Park East Beach","33W","2024-09-06",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
"27",27,1,"Marie Curtis Park East Beach","32W","2024-09-06",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
"28",28,1,"Marie Curtis Park East Beach","31W","2024-09-06",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
"29",29,1,"Marie Curtis Park East Beach","30W","2024-09-06",NA,"None","{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
"30",30,2,"Sunnyside Beach","23W","2024-09-06",NA,"No data","{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
"31",31,2,"Sunnyside Beach","18W","2024-09-06",460,"None","{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
