"","X_id","dataCollectionDate","beachName","windSpeed","windDirection","airTemp","rain","rainAmount","waterTemp","waterFowl","waveAction","waterClarity","turbidity"
"1",1,"2010-08-03","Marie Curtis Park East Beach",5,"SW",31,"Yes",NA,22.6,12,"LOW","Clear",0.9
"2",2,"2010-08-03","Sunnyside Beach",5,"SW",31,"Yes",NA,21.9,30,"LOW","Clear",0.6
"3",3,"2010-08-03","Hanlan's Point Beach",5,"SW",31,"Yes",NA,24.3,20,"LOW","Clear",0.1
"4",4,"2010-08-03","Gibraltar Point Beach",5,"SW",31,"Yes",NA,21.3,12,"LOW","Clear",NA
"5",5,"2010-08-03","Centre Island Beach",5,"SW",31,"Yes",NA,21.3,30,"LOW","Clear",0.2
"6",6,"2010-08-03","Ward's Island Beach",5,"SW",31,"Yes",NA,21.4,NA,"LOW","Clear",0.6
"7",7,"2010-08-03","Cherry Beach",10,"SW",30,"Yes",NA,21.3,10,"LOW","Clear",1.3
"8",8,"2010-08-03","Woodbine Beaches",10,"SW",30,"Yes",NA,21.5,60,"LOW","Semi Clear",1.8
"9",9,"2010-08-03","Kew Balmy Beach",10,"SW",30,"Yes",NA,22,50,"LOW","Semi Clear",2
"10",10,"2010-08-03","Bluffer's Beach Park",10,"SW",30,"Yes",NA,21.8,85,"LOW","Clear",1.9
"11",11,"2010-06-01","Hanlan's Point Beach",NA,"W",20,"Yes",6,17.3,12,"LOW","Clear",2
"12",12,"2010-06-02","Hanlan's Point Beach",NA,"S",22,"No",21,18.1,23,"LOW","Clear",1.8
"13",13,"2010-06-03","Hanlan's Point Beach",NA,"SE",17,"Yes",3,17.4,15,"MOD","Cloudy",1.4
"14",14,"2010-06-04","Hanlan's Point Beach",10,"None",22,"Yes",2,17.5,30,"LOW","Clear, green",1.7
"15",15,"2010-06-05","Hanlan's Point Beach",NA,"W",24,"Yes",2,18.8,6,"MOD","Cloudy",1.8
"16",16,"2010-06-06","Hanlan's Point Beach",20,"N",12,"Yes",20,13,18,"MOD","Cloudy",4
"17",17,"2010-06-07","Hanlan's Point Beach",17,"NW",20,"Yes",NA,14.9,8,"MOD","Clear",1.2
"18",18,"2010-06-08","Hanlan's Point Beach",17,"NW",14,"No",NA,14.3,12,"LOW","Clear",2
"19",19,"2010-06-09","Hanlan's Point Beach",NA,"None",13,"Yes",4,14.1,20,"MOD","Clear",1
"20",20,"2010-06-10","Hanlan's Point Beach",13,"NW",16,"Yes",NA,14.94,NA,"MOD","Clear",1.6
"21",21,"2010-06-11","Hanlan's Point Beach",NA,"None",16,"No",NA,15.6,72,"LOW","Clear",1.7
"22",22,"2010-06-12","Hanlan's Point Beach",NA,"None",17,"No",4,NA,NA,"None","None",NA
